sample_id,ms_fastq_1,meth_fastq_1,group,color
Sample1,data/fastq/Sample1_MS.fastq.gz,data/fastq/Sample1_Methyl.fastq.gz,GroupA,#FF0000
Sample2,data/fastq/Sample2_MS.fastq.gz,data/fastq/Sample2_Methyl.fastq.gz,GroupA,#00FF00
Sample3,data/fastq/Sample3_MS.fastq.gz,,GroupB,#0000FF
Sample4,data/fastq/Sample4_MS.fastq.gz,,,
# Lines starting with # will be ignored
# sample_id: Unique sample identifier
# ms_fastq_1: Path to microsatellite FASTQ file (required)
# meth_fastq_1: Path to methylation FASTQ file (optional)
# group: Group identifier for the sample (optional)
# color: Color for visualization (optional, hex format) 
