,2-1-G10_3-1-A2,2-1-G10_3-1-B1,2-2-B1_3-2-A6,2-1-A6_3-5-B2,2-1-A6_3-5-B3,2-1-H7_3-6-C6,2-1-H7_3-6-G7,1-1-F3_2-2-B1,2-1-C4_3-7-G7,2-1-F7_3-3-B9,2-1-H9_3-4-D8
2-1-G10_3-1-A2,69,46,23,0,0,0,0,0,0,0,0
2-1-G10_3-1-B1,46,69,23,0,0,0,0,0,0,0,0
2-2-B1_3-2-A6,23,23,69,0,0,0,0,0,0,0,0
2-1-A6_3-5-B2,0,0,0,69,46,23,23,0,0,0,0
2-1-A6_3-5-B3,0,0,0,46,69,23,23,0,0,0,0
2-1-H7_3-6-C6,0,0,0,23,23,69,46,0,0,0,0
2-1-H7_3-6-G7,0,0,0,23,23,46,69,0,0,0,0
1-1-F3_2-2-B1,0,0,0,0,0,0,0,46,23,0,0
2-1-C4_3-7-G7,0,0,0,0,0,0,0,23,69,0,0
2-1-F7_3-3-B9,0,0,0,0,0,0,0,0,0,69,23
2-1-H9_3-4-D8,0,0,0,0,0,0,0,0,0,23,69
